condition,eta,delta,metadata_path,case,episode,rollout_path,cutting_error_volume,episode_cumulative_normalized_cutting_error_rate,part_remaining_rate,part_occupancy_rate,num_steps,step_cutting_error_volumes,step_part_remaining_rates,step_part_occupancy_rates,execution_error_enabled,execution_error_mode,execution_error_seed,cases_name,num_episodes_config,task_step_config,epoch,infer_model,control_mode,num_steps_with_shift,mean_abs_sampled_shift,mean_abs_applied_shift,max_abs_sampled_shift,max_abs_applied_shift
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_4/episode_0/rollout_data.pickle,0.0,0.0,100.0,15.999999893333333,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0.8522727269700736, 1.7045454533348399, 3.0303030264768904, 6.666666648148148, 11.99999994, 15.999999893333333, 15.999999893333333, 15.999999893333333]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_4/episode_1/rollout_data.pickle,0.0,0.0,100.0,15.999999893333333,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0.8522727269700736, 1.7045454533348399, 3.7499999941406252, 5.999999985, 9.999999958333333, 13.333333259259259, 15.999999893333333, 15.999999893333333]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,2,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_4/episode_2/rollout_data.pickle,0.0,0.0,100.0,15.999999893333333,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0.8522727269700736, 1.7045454533348399, 2.7272727241735537, 5.999999985, 9.999999958333333, 13.333333259259259, 15.999999893333333, 15.999999893333333]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,3,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_4/episode_3/rollout_data.pickle,0.0,0.0,100.0,19.999999833333334,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0.8522727269700736, 1.7045454533348399, 3.7499999941406252, 6.666666648148148, 11.99999994, 14.99999990625, 19.999999833333334, 19.999999833333334]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,4,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_4/episode_4/rollout_data.pickle,0.0,0.0,100.0,15.999999893333333,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0.8522727269700736, 1.7045454533348399, 3.7499999941406252, 6.666666648148148, 11.99999994, 15.999999893333333, 15.999999893333333, 15.999999893333333]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,5,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_4/episode_5/rollout_data.pickle,0.0,0.0,100.0,19.999999833333334,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0.8522727269700736, 1.7045454533348399, 3.0303030264768904, 6.666666648148148, 14.99999990625, 19.999999833333334, 19.999999833333334, 19.999999833333334]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_5/episode_0/rollout_data.pickle,0.0,0.0,100.0,23.99999984,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.2784090904551104, 2.5568181800022596, 4.545454539715335, 9.999999972222222, 17.99999991, 20.57142845387755, 23.99999984, 23.99999984]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_5/episode_1/rollout_data.pickle,0.0,0.0,100.0,23.99999984,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.2784090904551104, 2.5568181800022596, 4.545454539715335, 9.999999972222222, 17.99999991, 23.99999984, 23.99999984, 23.99999984]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,2,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_5/episode_2/rollout_data.pickle,0.0,0.0,100.0,25.714285530612248,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.2784090904551104, 2.5568181800022596, 4.545454539715335, 9.999999972222222, 17.99999991, 22.499999859375, 25.714285530612248, 25.714285530612248]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,3,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_5/episode_3/rollout_data.pickle,0.0,0.0,100.0,20.57142845387755,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.2784090904551104, 2.5568181800022596, 4.545454539715335, 9.999999972222222, 17.99999991, 20.57142845387755, 20.57142845387755, 20.57142845387755]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
